AGENT_ID,DOB,MARITAL_STATUS,TEAM_CODE,CONTRACT_DATE,AGENT_STATUS,TERMINATION_DATE,FIRST_YEAR_COMMISSION
3201802001,1987-09-17 00:00:00,Married,A0000,2018-02-25 00:00:00,Inactive,2023-01-18 00:00:00,672760.0
3201408001,1984-02-17 00:00:00,Married,A0000,2014-08-05 00:00:00,Inactive,2023-01-05 00:00:00,359010.0
3201510001,1986-06-23 00:00:00,Married,A0000,2015-10-16 00:00:00,Inactive,2023-01-02 00:00:00,569080.0
3201403001,1986-12-03 00:00:00,Married,A0000,2014-03-12 00:00:00,Inactive,2023-01-05 00:00:00,4719070.0
3201805001,1995-03-11 00:00:00,Married,A0000,2018-05-30 00:00:00,Inactive,2023-01-18 00:00:00,463950.0
3201405001,1987-03-06 00:00:00,Married,A0000,2014-05-13 00:00:00,Inactive,2023-01-05 00:00:00,782780.0
3201805002,1994-01-10 00:00:00,Married,A0000,2018-05-23 00:00:00,Inactive,2023-01-18 00:00:00,165410.0
3201706001,1987-03-15 00:00:00,Married,A0000,2017-06-13 00:00:00,Inactive,2023-01-15 00:00:00,227370.0
3201411001,1985-09-04 00:00:00,Married,A0000,2014-11-12 00:00:00,Inactive,2023-01-05 00:00:00,725040.0
3201803001,1989-11-17 00:00:00,Married,A0000,2018-03-31 00:00:00,Inactive,2023-01-18 00:00:00,200650.0
3201804001,1992-03-06 00:00:00,Married,A0000,2018-04-21 00:00:00,Inactive,2023-01-18 00:00:00,144270.0
3201509001,1989-06-03 00:00:00,Married,A0000,2015-09-18 00:00:00,Inactive,2023-01-02 00:00:00,738140.0
3201805003,1995-03-10 00:00:00,Married,A0000,2018-05-07 00:00:00,Inactive,2023-01-18 00:00:00,132550.0
3201510002,1993-05-09 00:00:00,Married,A0000,2015-10-28 00:00:00,Inactive,2023-01-02 00:00:00,2262990.0
3201407001,1992-04-29 00:00:00,Married,A0000,2014-07-11 00:00:00,Inactive,2023-01-05 00:00:00,2984310.0
3201408002,1991-06-22 00:00:00,Married,A0000,2014-08-17 00:00:00,Inactive,2023-01-05 00:00:00,1871080.0
3201805004,1995-02-08 00:00:00,Married,A0000,2018-05-27 00:00:00,Inactive,2023-01-18 00:00:00,248490.0
3201803002,1988-12-03 00:00:00,Married,A0000,2018-03-23 00:00:00,Inactive,2023-01-18 00:00:00,165930.0
3201705001,1992-01-28 00:00:00,Married,A0000,2017-05-18 00:00:00,Inactive,2023-01-15 00:00:00,672510.0
3201804002,1991-01-16 00:00:00,Married,A0000,2018-04-03 00:00:00,Inactive,2023-01-18 00:00:00,945220.0
3201410001,1987-05-17 00:00:00,Married,A0000,2014-10-23 00:00:00,Inactive,2023-01-05 00:00:00,313000.0
